County,City,Data Points,MAPE,MAE,RMSE,R2 Score
Cass,Anita,52,18.32,33276.17,38870.88,-0.81
Scott,Donahue,52,18.39,7581.64,10906.44,0.13
Winneshiek,Fort Atkinson,52,18.41,16163.91,18761.93,0.23
Howard,Protivin,52,18.44,14085.57,18183.16,0.31
Chickasaw,Ionia,52,18.44,11014.58,13714.46,0.81
Lyon,Little Rock,52,18.48,5403.11,7264.07,-0.16
Hardin,Union,52,18.52,12333.83,14286.95,-1.48
Marion,Pleasantville,52,18.57,29352.02,30857.36,-0.13
Buchanan,Jesup,52,18.71,69711.13,84254.74,0.23
Black Hawk,Dunkerton,52,18.79,28971.95,32320.68,0.17
Story,Roland,52,18.82,17861.59,21763.48,-0.45
Hardin,New Providence,44,18.82,2785.07,3631.0,0.34
Polk,Johnston,52,18.87,704174.01,737393.45,-3.17
Adair,Orient,52,18.95,5189.34,5817.91,-0.33
Wayne,Allerton,52,18.96,3408.85,4361.12,0.3
Floyd,Charles City,52,18.96,394493.7,422877.64,-0.67
Wright,Clarion,52,19.04,92293.29,97444.01,-5.58
Benton,Blairstown,52,19.06,35386.57,38979.74,-3.14
Fayette,Oelwein,52,19.09,187665.51,205265.55,0.14
Jackson,Other,52,19.09,22629.8,26854.82,-1.55
Page,Coin,50,19.15,1838.77,3011.33,-0.04
Story,Huxley,52,19.36,80441.3,94497.47,-2.25
Van Buren,Other,52,19.4,16827.51,21277.4,0.2
Davis,Pulaski,52,19.59,6926.8,8255.67,0.05
Cass,Cumberland,52,19.61,3316.2,4089.26,-0.64
Appanoose,Moulton,52,19.61,4053.18,5111.32,-1.05
Guthrie,Casey,52,19.73,7770.03,9678.47,-0.26
Sac,Lake View,52,19.76,53287.48,60040.88,-0.42
Dallas,West Des Moines,52,19.77,2964543.9,3156061.3,-1.52
Carroll,Templeton,52,19.86,16757.51,20982.57,-0.33
Harrison,Persia,47,19.92,1758.24,2030.94,-1.85
Van Buren,Bonaparte,52,19.93,7463.29,8409.27,0.39
Kossuth,Luverne,40,20.02,4494.98,4794.92,0.46
Winneshiek,Ridgeway,52,20.05,46834.24,62104.32,-0.4
Dubuque,Durango,52,20.07,7631.79,10934.29,0.23
Keokuk,Hedrick,52,20.08,22674.92,25448.98,-3.38
Clinton,Lost Nation,52,20.09,6483.23,8807.04,-0.17
Marshall,State Center,52,20.1,31729.5,34211.15,-2.53
Scott,Bettendorf,52,20.13,1485585.24,1525505.7,-4.59
Clay,Royal,52,20.18,1834.79,2160.11,-0.25
Madison,St. Charles,40,20.22,17206.99,23173.44,-0.42
Webster,Gowrie,52,20.27,29267.03,31017.89,-6.78
Osceola,Other,52,20.27,8434.27,10377.84,0.22
Dubuque,Luxemburg,17,20.29,3901.37,5061.31,-0.93
Hardin,Alden,52,20.37,36784.68,41712.18,-0.15
Benton,Garrison,51,20.39,5589.43,7140.18,0.16
Jones,Wyoming,52,20.52,16845.19,17637.2,-4.02
Dubuque,Farley,52,20.59,46267.54,52324.81,0.23
Fremont,Hamburg,52,20.74,28461.68,30559.69,-14.01
Woodbury,Anthon,52,20.77,14081.53,18100.39,-0.31
Marshall,Laurel,50,20.8,7593.16,9041.44,-3.35
Page,Essex,52,20.85,11934.95,12955.48,-2.68
Johnson,Lone Tree,52,20.88,11866.59,12921.03,-0.73
Hardin,Eldora,52,20.92,83042.1,86465.25,-3.98
Hamilton,Kamrar,22,20.94,4930.5,5690.22,-2.5
Wapello,Blakesburg,52,20.97,2735.18,3363.15,-0.16
Buchanan,Winthrop,52,20.97,28429.29,32273.78,-1.18
Scott,Buffalo,52,21.21,34625.34,48891.93,-0.82
Linn,Marion,52,21.24,1437760.08,1582921.44,-5.45
Pottawattamie,Mcclelland,14,21.24,1126.09,1162.29,-0.69
Jackson,Miles,52,21.35,9205.77,10229.57,-1.31
Fayette,Hawkeye,52,21.37,17358.41,21775.5,0.4
Webster,Badger,52,21.48,4363.86,5787.41,-0.87
Crawford,Dow City,52,21.64,5714.42,7201.15,-0.16
Grundy,Holland,44,21.68,12615.56,14395.82,-0.28
Calhoun,Lohrville,52,21.71,14400.65,22207.76,0.25
Black Hawk,Raymond,52,21.79,20239.22,26100.02,0.14
Polk,Clive,52,21.79,1831316.55,1867558.2,-8.82
Scott,Leclaire,52,21.85,115250.9,155474.66,-0.51
Bremer,Readlyn,52,21.88,19741.75,21740.37,-2.88
Dickinson,Terril,51,21.92,3696.37,4008.37,-0.3
Cedar,Mechanicsville,52,21.96,12566.03,14872.08,0.01
Linn,Center Point,52,21.97,65270.15,67139.46,0.17
Polk,Bondurant,52,21.99,181014.8,200250.59,-2.02
Butler,Allison,52,22.08,39557.96,41453.41,-6.27
Lee,Fort Madison,52,22.1,649071.17,686411.68,-5.29
Scott,Mccausland,40,22.11,4502.07,4861.53,-1.19
Jefferson,Packwood,50,22.18,1348.5,1692.42,-2.86
Van Buren,Cantril,52,22.28,53357.49,56828.0,-5.38
Iowa,Ladora,48,22.37,1498.34,1925.63,-1.21
Palo Alto,Ruthven,52,22.4,9894.44,11510.29,0.16
Hancock,Garner,52,22.42,383420.38,416564.5,-8.95
Dickinson,Okoboji,52,22.47,172687.67,205019.03,0.89
Harrison,Logan,52,22.52,47105.08,54157.79,-1.72
Story,Colo,52,22.54,18219.21,21720.52,0.1
